Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 121.0.0.0,,,2024-02-21 14:34:55,2024-02-21 14:34:56,"0,398s",PASSED
"click(findTestObject(""Dashboard Page/Wallpapers""))",Chrome 121.0.0.0,,,2024-02-21 14:34:56,2024-02-21 14:34:56,"0,678s",PASSED
"verifyElementText(findTestObject(""Wallpapers/Create Wallpaper Header""), ""Create Wallpaper"")",Chrome 121.0.0.0,,,2024-02-21 14:34:56,2024-02-21 14:34:57,"1,104s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 121.0.0.0,,,2024-02-21 14:34:57,2024-02-21 14:34:58,"0,429s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-21 14:34:58,2024-02-21 14:35:06,"8,410s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-19"")",Chrome 121.0.0.0,,,2024-02-21 14:35:06,2024-02-21 14:35:07,"1,013s",PASSED
"verifyElementPresent(findTestObject(""Wallpapers/Upload wallpaper area""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:35:07,2024-02-21 14:35:08,"0,317s",PASSED
"click(findTestObject(""Wallpapers/Select image from server button""))",Chrome 121.0.0.0,,,2024-02-21 14:35:08,2024-02-21 14:35:08,"0,375s",PASSED
"click(findTestObject(""Wallpapers/first image on a server""))",Chrome 121.0.0.0,,,2024-02-21 14:35:08,2024-02-21 14:35:09,"1,111s",PASSED
delay(90),Chrome 121.0.0.0,,,2024-02-21 14:35:09,2024-02-21 14:35:09,"0,002s",NOT_RUN
"verifyElementPresent(findTestObject(""Wallpapers/uploaded wallpaper file""), 1)",Chrome 121.0.0.0,,,2024-02-21 14:35:09,2024-02-21 14:35:10,"0,530s",PASSED
"getAttribute(findTestObject(""Wallpapers/uploaded wallpaper file""), ""src"")",Chrome 121.0.0.0,,,2024-02-21 14:35:10,2024-02-21 14:35:10,"0,303s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 121.0.0.0,,,2024-02-21 14:35:10,2024-02-21 14:35:10,"0,383s",PASSED
waitForPageLoad(2),Chrome 121.0.0.0,,,2024-02-21 14:35:10,2024-02-21 14:35:10,"0,024s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-19"")",Chrome 121.0.0.0,,,2024-02-21 14:35:10,2024-02-21 14:35:13,"3,094s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-19"")",Chrome 121.0.0.0,,,2024-02-21 14:35:13,2024-02-21 14:35:14,"0,321s",PASSED
,,,,,,,
Test Cases/Wallpapers/Draft Wallpaper (TC-18),Chrome 121.0.0.0,,,2024-02-21 14:35:16,2024-02-21 14:37:11,"1m - 55,010s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 121.0.0.0,,,2024-02-21 14:35:16,2024-02-21 14:35:16,"0,385s",PASSED
"click(findTestObject(""Dashboard Page/Wallpapers""))",Chrome 121.0.0.0,,,2024-02-21 14:35:16,2024-02-21 14:35:17,"0,606s",PASSED
"verifyElementText(findTestObject(""Wallpapers/Create Wallpaper Header""), ""Create Wallpaper"")",Chrome 121.0.0.0,,,2024-02-21 14:35:17,2024-02-21 14:35:18,"1,322s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 121.0.0.0,,,2024-02-21 14:35:18,2024-02-21 14:35:19,"0,425s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-21 14:35:19,2024-02-21 14:35:27,"8,369s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-18"")",Chrome 121.0.0.0,,,2024-02-21 14:35:27,2024-02-21 14:35:28,"1,000s",PASSED
"verifyElementPresent(findTestObject(""Wallpapers/Upload wallpaper area""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:35:28,2024-02-21 14:35:28,"0,292s",PASSED
"uploadFileWithDragAndDrop(findTestObject(""Wallpapers/Upload wallpaper area""), ""C:\Users\Home\git\Katalon\Imagesfortest\icecity.jpg"")",Chrome 121.0.0.0,,,2024-02-21 14:35:28,2024-02-21 14:35:29,"0,353s",PASSED
delay(90),Chrome 121.0.0.0,,,2024-02-21 14:35:29,2024-02-21 14:36:59,"1m - 30,014s",PASSED
"getAttribute(findTestObject(""Wallpapers/uploaded wallpaper file""), ""src"")",Chrome 121.0.0.0,,,2024-02-21 14:36:59,2024-02-21 14:36:59,"0,322s",PASSED
"click(findTestObject(""Wallpapers/Save wallpaper button""))",Chrome 121.0.0.0,,,2024-02-21 14:36:59,2024-02-21 14:36:59,"0,418s",PASSED
"click(findTestObject(""Pop-up Alerts page/Draft tab""))",Chrome 121.0.0.0,,,2024-02-21 14:36:59,2024-02-21 14:37:01,"1,716s",PASSED
waitForPageLoad(2),Chrome 121.0.0.0,,,2024-02-21 14:37:01,2024-02-21 14:37:01,"0,026s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-18"")",Chrome 121.0.0.0,,,2024-02-21 14:37:01,2024-02-21 14:37:02,"1,373s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-18"")",Chrome 121.0.0.0,,,2024-02-21 14:37:02,2024-02-21 14:37:03,"0,322s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-21 14:37:03,2024-02-21 14:37:04,"1,213s",PASSED
"click(findTestObject(""Pop-up Alerts page/Preview Draft alert Actions""))",Chrome 121.0.0.0,,,2024-02-21 14:37:04,2024-02-21 14:37:05,"0,581s",PASSED
switchToWindowIndex(1),Chrome 121.0.0.0,,,2024-02-21 14:37:05,2024-02-21 14:37:05,"0,248s",PASSED
takeFullPageScreenshot([]),Chrome 121.0.0.0,,,2024-02-21 14:37:05,2024-02-21 14:37:06,"1,565s",PASSED
closeWindowIndex(1),Chrome 121.0.0.0,,,2024-02-21 14:37:06,2024-02-21 14:37:06,"0,068s",PASSED
switchToDefaultContent(),Chrome 121.0.0.0,,,2024-02-21 14:37:06,2024-02-21 14:37:07,"0,028s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-21 14:37:07,2024-02-21 14:37:07,"0,456s",PASSED
"click(findTestObject(""Pop-up Alerts page/Edit Draft alert Actions""))",Chrome 121.0.0.0,,,2024-02-21 14:37:07,2024-02-21 14:37:08,"0,636s",PASSED
"verifyElementText(findTestObject(""Wallpapers/Create Wallpaper Header""), ""Create Wallpaper"")",Chrome 121.0.0.0,,,2024-02-21 14:37:08,2024-02-21 14:37:08,"0,645s",PASSED
"click(findTestObject(""Wallpapers/Save wallpaper button""))",Chrome 121.0.0.0,,,2024-02-21 14:37:08,2024-02-21 14:37:09,"0,337s",PASSED
"verifyElementPresent(findTestObject(""Pop-up Alerts page/Draft tab""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:37:09,2024-02-21 14:37:09,"0,001s",NOT_RUN
