Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 11:06:57,29-02-2024 11:07:05,"7,925s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-27"")",Chrome 122.0.0.0,,,29-02-2024 11:07:05,29-02-2024 11:07:06,"0,908s",PASSED
"setText(findTestObject(""Survey/Q1 input""), ""Are you satisfied with our services?"")",Chrome 122.0.0.0,,,29-02-2024 11:07:06,29-02-2024 11:07:07,"1,278s",PASSED
"setText(findTestObject(""Survey/Q1 Answer 1 input field""), ""Yes"")",Chrome 122.0.0.0,,,29-02-2024 11:07:07,29-02-2024 11:07:08,"0,654s",PASSED
"setText(findTestObject(""Survey/Q1 answer 2 input field""), ""No"")",Chrome 122.0.0.0,,,29-02-2024 11:07:08,29-02-2024 11:07:09,"0,624s",PASSED
"click(findTestObject(""Survey/Add question btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:09,29-02-2024 11:07:09,"0,337s",PASSED
"setText(findTestObject(""Survey/Q2 input""), ""Where do you think we can improve our services?"")",Chrome 122.0.0.0,,,29-02-2024 11:07:09,29-02-2024 11:07:11,"2,046s",PASSED
"click(findTestObject(""Survey/choice options""))",Chrome 122.0.0.0,,,29-02-2024 11:07:11,29-02-2024 11:07:11,"0,317s",PASSED
"click(findTestObject(""Survey/Multiple choice""))",Chrome 122.0.0.0,,,29-02-2024 11:07:11,29-02-2024 11:07:12,"0,570s",PASSED
"setText(findTestObject(""Survey/Q2 answer 1 input field""), ""Product Quality"")",Chrome 122.0.0.0,,,29-02-2024 11:07:12,29-02-2024 11:07:13,"1,343s",PASSED
"setText(findTestObject(""Survey/Q2 answer 2 input field""), ""HotFix Delivery"")",Chrome 122.0.0.0,,,29-02-2024 11:07:13,29-02-2024 11:07:14,"0,909s",PASSED
"click(findTestObject(""Survey/Add option""))",Chrome 122.0.0.0,,,29-02-2024 11:07:14,29-02-2024 11:07:15,"0,316s",PASSED
"setText(findTestObject(""Survey/Q2 answer 3 input field""), ""Response Time"")",Chrome 122.0.0.0,,,29-02-2024 11:07:15,29-02-2024 11:07:16,"1,117s",PASSED
"click(findTestObject(""Survey/Add intermediary step btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:16,29-02-2024 11:07:16,"0,384s",PASSED
"scrollToElement(findTestObject(""Survey/Q3 intermediary step input""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:07:16,29-02-2024 11:07:17,"0,501s",PASSED
"setText(findTestObject(""Survey/Q3 intermediary step input""), ""Improvement"")",Chrome 122.0.0.0,,,29-02-2024 11:07:17,29-02-2024 11:07:18,"1,096s",PASSED
"setText(findTestObject(""Survey/Q3 intermediary input description""), ""Please help us to improve our services"")",Chrome 122.0.0.0,,,29-02-2024 11:07:18,29-02-2024 11:07:19,"1,624s",PASSED
"scrollToElement(findTestObject(""Survey/Send btn Survey""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:07:19,29-02-2024 11:07:20,"0,523s",PASSED
"click(findTestObject(""Survey/Send btn Survey""))",Chrome 122.0.0.0,,,29-02-2024 11:07:20,29-02-2024 11:07:20,"0,368s",PASSED
