Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Pop-up Alerts page/New alert button""))",Chrome 123.0.0.0,,,22-04-2024 11:27:32,22-04-2024 11:27:32,"0,401s",PASSED
"verifyElementText(findTestObject(""Create Scrolling ticker/Create Scrolling ticker header""), ""Create Scrolling Ticker"")",Chrome 123.0.0.0,,,22-04-2024 11:27:32,22-04-2024 11:27:33,"0,677s",PASSED
waitForPageLoad(1),Chrome 123.0.0.0,,,22-04-2024 11:27:33,22-04-2024 11:27:33,"0,012s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 123.0.0.0,,,22-04-2024 11:27:33,22-04-2024 11:27:33,"0,338s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,22-04-2024 11:27:33,22-04-2024 11:27:41,"8,196s",PASSED
"verifyElementPresent(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Choosen users filtered""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:27:41,22-04-2024 11:27:41,"0,001s",NOT_RUN
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-8"")",Chrome 123.0.0.0,,,22-04-2024 11:27:41,22-04-2024 11:27:42,"0,876s",PASSED
"switchToFrame(findTestObject(""Create Pop-up Alert Page/Alert body iframe""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:27:42,22-04-2024 11:27:42,"0,290s",PASSED
"setMaskedText(findTestObject(""Create Pop-up Alert Page/Alert body""),*****************************************************)",Chrome 123.0.0.0,,,22-04-2024 11:27:42,22-04-2024 11:27:43,"1,047s",PASSED
switchToDefaultContent(),Chrome 123.0.0.0,,,22-04-2024 11:27:43,22-04-2024 11:27:43,"0,012s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Save Button""))",Chrome 123.0.0.0,,,22-04-2024 11:27:43,22-04-2024 11:27:44,"0,549s",PASSED
waitForPageLoad(2),Chrome 123.0.0.0,,,22-04-2024 11:27:44,22-04-2024 11:27:44,"0,010s",PASSED
"click(findTestObject(""Pop-up Alerts page/Draft tab""))",Chrome 123.0.0.0,,,22-04-2024 11:27:44,22-04-2024 11:27:45,"1,355s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-8"")",Chrome 123.0.0.0,,,22-04-2024 11:27:45,22-04-2024 11:27:46,"1,134s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-8"")",Chrome 123.0.0.0,,,22-04-2024 11:27:46,22-04-2024 11:27:47,"0,274s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 123.0.0.0,,,22-04-2024 11:27:47,22-04-2024 11:27:48,"1,099s",PASSED
"click(findTestObject(""Pop-up Alerts page/Preview Draft alert Actions""))",Chrome 123.0.0.0,,,22-04-2024 11:27:48,22-04-2024 11:27:48,"0,531s",PASSED
"switchToFrame(findTestObject(""Create Scrolling ticker/Preview ticker frame""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:27:48,22-04-2024 11:27:49,"1,067s",PASSED
delay(2),Chrome 123.0.0.0,,,22-04-2024 11:27:49,22-04-2024 11:27:51,"2,018s",PASSED
takeFullPageScreenshot([]),Chrome 123.0.0.0,,,22-04-2024 11:27:51,22-04-2024 11:27:52,"0,446s",PASSED
"click(findTestObject(""Create Scrolling ticker/Close ticker preview""))",Chrome 123.0.0.0,,,22-04-2024 11:27:52,22-04-2024 11:27:52,"0,102s",PASSED
switchToDefaultContent(),Chrome 123.0.0.0,,,22-04-2024 11:27:52,22-04-2024 11:27:52,"0,014s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 123.0.0.0,,,22-04-2024 11:27:52,22-04-2024 11:27:52,"0,507s",PASSED
"click(findTestObject(""Pop-up Alerts page/Edit Draft alert Actions""))",Chrome 123.0.0.0,,,22-04-2024 11:27:52,22-04-2024 11:27:53,"0,614s",PASSED
"verifyElementPresent(findTestObject(""Create Scrolling ticker/Create Scrolling ticker header""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:27:53,22-04-2024 11:27:54,"0,701s",PASSED
"verifyElementText(findTestObject(""Create Pop-up Alert Page/Create Pop-up Alert header""), ""Create Scrolling Ticker"")",Chrome 123.0.0.0,,,22-04-2024 11:27:54,22-04-2024 11:27:54,"0,280s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Save Button""))",Chrome 123.0.0.0,,,22-04-2024 11:27:54,22-04-2024 11:27:54,"0,329s",PASSED
,,,,,,,
Test Cases/Ticker/Ticker template creation (TC-9),Chrome 123.0.0.0,,,22-04-2024 11:27:56,22-04-2024 11:28:31,"34,827s",PASSED
"click(findTestObject(""Pop-up Alerts page/Templates tab""))",Chrome 123.0.0.0,,,22-04-2024 11:27:57,22-04-2024 11:27:57,"0,347s",PASSED
"click(findTestObject(""Pop-up Alerts page/New Template button""))",Chrome 123.0.0.0,,,22-04-2024 11:27:57,22-04-2024 11:27:58,"0,706s",PASSED
"setText(findTestObject(""Create Template/Template title""), ""TC-9"")",Chrome 123.0.0.0,,,22-04-2024 11:27:58,22-04-2024 11:27:59,"1,078s",PASSED
"switchToFrame(findTestObject(""Create Pop-up Alert Page/Alert body iframe""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:27:59,22-04-2024 11:27:59,"0,300s",PASSED
"TemplateBody = """"The News Tickers is a handy and easy tool for creating a creeping line(running text, ticker). This is perfect for news broadcasts, updates, and more projects that refer to current events. Use for any formats and themes of video: news, sports, advertising, video blog, and others. Special made for COVID-19 situation in the world. Color controls available. A video tutorial is also included in the download.""""",Chrome 123.0.0.0,,,22-04-2024 11:27:59,22-04-2024 11:27:59,"0,004s",PASSED
"setMaskedText(findTestObject(""Create Pop-up Alert Page/Alert body""),*************)",Chrome 123.0.0.0,,,22-04-2024 11:27:59,22-04-2024 11:28:02,"2,781s",PASSED
switchToDefaultContent(),Chrome 123.0.0.0,,,22-04-2024 11:28:02,22-04-2024 11:28:02,"0,010s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Save Button""))",Chrome 123.0.0.0,,,22-04-2024 11:28:02,22-04-2024 11:28:02,"0,548s",PASSED
"click(findTestObject(""Pop-up Alerts page/Templates tab""))",Chrome 123.0.0.0,,,22-04-2024 11:28:02,22-04-2024 11:28:04,"1,579s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-9"")",Chrome 123.0.0.0,,,22-04-2024 11:28:04,22-04-2024 11:28:05,"1,210s",PASSED
delay(2),Chrome 123.0.0.0,,,22-04-2024 11:28:05,22-04-2024 11:28:07,"2,007s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered Template""), ""TC-9"")",Chrome 123.0.0.0,,,22-04-2024 11:28:07,22-04-2024 11:28:07,"0,289s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 123.0.0.0,,,22-04-2024 11:28:07,22-04-2024 11:28:08,"0,306s",PASSED
"click(findTestObject(""Templates Action menu/Preview Template Action""))",Chrome 123.0.0.0,,,22-04-2024 11:28:08,22-04-2024 11:28:08,"0,547s",PASSED
"switchToFrame(findTestObject(""Create Scrolling ticker/Preview ticker frame""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:28:08,22-04-2024 11:28:09,"1,089s",PASSED
takeFullPageScreenshot([]),Chrome 123.0.0.0,,,22-04-2024 11:28:09,22-04-2024 11:28:10,"0,603s",PASSED
"click(findTestObject(""Create Scrolling ticker/Close ticker preview""))",Chrome 123.0.0.0,,,22-04-2024 11:28:10,22-04-2024 11:28:10,"0,155s",PASSED
switchToDefaultContent(),Chrome 123.0.0.0,,,22-04-2024 11:28:10,22-04-2024 11:28:10,"0,013s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 123.0.0.0,,,22-04-2024 11:28:10,22-04-2024 11:28:11,"0,436s",PASSED
"click(findTestObject(""Templates Action menu/Edit Template Action""))",Chrome 123.0.0.0,,,22-04-2024 11:28:11,22-04-2024 11:28:11,"0,611s",PASSED
"verifyElementPresent(findTestObject(""Create Scrolling ticker/Create Scrolling ticker header""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:28:11,22-04-2024 11:28:12,"0,811s",PASSED
"verifyElementText(findTestObject(""Create Pop-up Alert Page/Create Pop-up Alert header""), ""Edit Template"")",Chrome 123.0.0.0,,,22-04-2024 11:28:12,22-04-2024 11:28:12,"0,291s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Save Button""))",Chrome 123.0.0.0,,,22-04-2024 11:28:12,22-04-2024 11:28:13,"0,332s",PASSED
"click(findTestObject(""Pop-up Alerts page/Templates tab""))",Chrome 123.0.0.0,,,22-04-2024 11:28:13,22-04-2024 11:28:14,"1,640s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-9"")",Chrome 123.0.0.0,,,22-04-2024 11:28:14,22-04-2024 11:28:15,"1,072s",PASSED
delay(2),Chrome 123.0.0.0,,,22-04-2024 11:28:15,22-04-2024 11:28:17,"2,004s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered Template""), ""TC-9"")",Chrome 123.0.0.0,,,22-04-2024 11:28:17,22-04-2024 11:28:18,"0,294s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 123.0.0.0,,,22-04-2024 11:28:18,22-04-2024 11:28:18,"0,312s",PASSED
"click(findTestObject(""Templates Action menu/Create alert using this template""))",Chrome 123.0.0.0,,,22-04-2024 11:28:18,22-04-2024 11:28:19,"0,668s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 123.0.0.0,,,22-04-2024 11:28:19,22-04-2024 11:28:19,"0,809s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,22-04-2024 11:28:19,22-04-2024 11:28:28,"8,315s",PASSED
"setText(findTestObject(""Create Template/Template title""), "" Template"")",Chrome 123.0.0.0,,,22-04-2024 11:28:28,22-04-2024 11:28:29,"1,112s",PASSED
